,Ref to signal ratio,Pulse type,Amplitude,Phase,Q,P,Bob's quadrature,Bob's quadrature value,alpha,T_eff,Rotated Q,Rotated P,Ultimate state,Alice bits,Linear difference
115,4,ref,1.0,0.0,1.0,0.0,P,0.0833705321665618,0.10484332430958995,0.7966502906555658,0.7922758610281282,0.0833705321665618,-,-,-
116,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2194287965389105,0.10484332430958995,0.7966502906555658,-0.22127529935419188,-0.136786101023894,-0.22127529935419188,011000111011,-0.00184650281528137
117,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1386866159303149,0.10484332430958995,0.7966502906555658,-0.136786101023894,0.22127529935419193,-0.136786101023894,011011100111,0.0019005149064209026
118,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2369229602003891,0.10484332430958995,0.7966502906555658,-0.22127529935419188,-0.136786101023894,-0.22127529935419188,011000111011,0.01564766084619723
119,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1407023639940944,0.10484332430958995,0.7966502906555658,-0.136786101023894,0.22127529935419193,-0.136786101023894,011011100111,0.003916262970200396
120,2,ref,1.0,0.0,1.0,0.0,Q,0.7896248184835271,0.11099668572192971,0.7945141074858747,0.7896248184835271,0.0880074600754563,-,-,-
121,4,ref,1.0,0.0,1.0,0.0,P,0.0880074600754563,0.11099668572192971,0.7945141074858747,0.7896248184835271,0.0880074600754563,-,-,-
122,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2192279097286822,0.11099668572192971,0.7945141074858747,-0.21983834927162846,-0.13777465964268587,-0.21983834927162846,011000111101,-0.0006104395429462617
123,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1382771670992125,0.11099668572192971,0.7945141074858747,-0.13777465964268584,0.21983834927162854,-0.13777465964268584,011011100101,0.000502507456526663
124,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2356000029651163,0.11099668572192971,0.7945141074858747,-0.21983834927162846,-0.13777465964268587,-0.21983834927162846,011000111101,0.015761653693487837
125,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1417417340921259,0.11099668572192971,0.7945141074858747,-0.13777465964268584,0.21983834927162854,-0.13777465964268584,011011100101,0.003967074449440056
126,2,ref,1.0,0.0,1.0,0.0,Q,0.7882518641296296,0.11497748318078432,0.7934909933182159,0.7882518641296294,0.0910327148518217,-,-,-
127,4,ref,1.0,0.0,1.0,0.0,P,0.0910327148518217,0.11497748318078432,0.7934909933182159,0.7882518641296294,0.0910327148518217,-,-,-
128,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2198187527753906,0.11497748318078432,0.7934909933182159,-0.21900577342261945,-0.1384701565043413,-0.21900577342261945,011000111111,0.0008129793527711371
129,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1394274527407843,0.11497748318078432,0.7934909933182159,-0.1384701565043413,0.21900577342261948,-0.1384701565043413,011011100100,0.0009572962364430004
130,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2373187529921875,0.11497748318078432,0.7934909933182159,-0.21900577342261945,-0.1384701565043413,-0.21900577342261945,011000111111,0.01831297956956804
131,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1420000018109803,0.11497748318078432,0.7934909933182159,-0.1384701565043413,0.21900577342261948,-0.1384701565043413,011011100100,0.0035298453066389957
132,2,ref,1.0,0.0,1.0,0.0,Q,0.7858191155224171,0.1219563944485048,0.791699437978252,0.7858191155224172,0.09631364272337581,-,-,-
